rec-id,crptr-record,FirstName,Gender,LastName,FatherLastName,DateofBirth,FatherFirstName,FatherOccupation,MotherLastName,MotherFirstName,MotherOccupation,Occupation
rec-1-org,,George,M,ALCORN,ALCORN,1712-08-21,Hugh,carpenter,ELLIOT,Mary,weaver,school teacher
rec-2-org,,Peter,M,RICH,RICH,1713-10-22,James,time keeper (civil engineering),FAGAN,Isabella,teacher,gasfitter
rec-3-org,,George,M,MARCH,MARCH,1719-06-06,Andrew,bricklayer,MITCHELL,Margaret,domestic servant,cork hawker
rec-4-org,,James,M,MAHAFFEY,MAHAFFEY,1714-09-21,Hugh,curate,FARBROTHER,Matilda,servant,labourer
rec-5-org,,Thos,M,CAMPBELL,CAMPBELL,1727-02-17,Robt,bookseller,CONWAY,Janet,domestic servant,marine stores dealer
rec-6-org,,Luis,F,REAKES,REAKES,1724-03-31,Willi,labourer,SCHULEN,Elizabeth,fitter at steelplant,mill hand
rec-7-org,,Martha,F,GRIFFITHS,GRIFFITHS,1735-06-28,Leslie,indian army engineer,HARDY,Euphemia,brewery labourer,blacksmith
rec-8-org,,James,M,THOMAS,THOMAS,1714-06-09,Matthew,farmer,PHILLIPS,C,domestic servant,farm worker
rec-9-org,,Angus,M,ADAMSON,ADAMSON,1723-10-29,George,lady's maid,HARRISS,Jane,plasterer,farmer
rec-10-org,,John,M,HILL,HILL,1719-03-16,John,chainmaker,HOWEL,Mary,boilermaker,servant
rec-11-org,,Anne,F,ALCORN,ALCORN,1728-03-13,Hugh,carpenter,ELLIOT,Mary,weaver,farmer
rec-12-org,,Jas,M,WHATTON,WHATTON,1721-10-22,John,carpenter,STEPHENSON,Elisabeth,mariner,council gardener
rec-13-org,,Mark,M,TONGE,TONGE,1721-05-30,John,parish clerk,ROBINSON,Sophia,locksmith,army officer
rec-14-org,,John,M,HUNTLEY,HUNTLEY,1723-01-10,Samuel,shepherd,BAKER,Jane,coal miner,basket maker
rec-15-org,,William,M,RICH,RICH,1724-02-27,James,time keeper (civil engineering),FAGAN,Isabella,teacher,plumber
rec-16-org,,Catherine,F,FOSTER,FOSTER,1725-11-13,Hugh,labourer,TROOP,Eliz,oriform machinist,boat builder
rec-17-org,,Mary,F,CARTER,CARTER,1724-01-10,Robert,servant,SELKIRK,Emma,fisherman,pub worker
rec-18-org,,Isabella,F,THOMAS,THOMAS,1718-10-31,Matthew,farmer,PHILLIPS,C,domestic servant,managing director (rolling stock firm)
rec-19-org,,John,M,THOMAS,THOMAS,1718-10-31,Matthew,farmer,PHILLIPS,C,domestic servant,cottager
rec-20-org,,Jane,F,BELL,BELL,1727-01-13,John,lab,HARDCASTLE,Helen,carpenter,farmer
rec-21-org,,William,M,JONE,JONE,1726-05-14,Duncan,saddler,PARDOE,Jane,gardener,bricklayer
rec-22-org,,Isabella,F,DANNILS,DANNILS,1724-03-14,Robert,warehouseman,LOCK,Marion,foreman mechanic,carpenter
rec-23-org,,Willia,M,MAHAFFEY,MAHAFFEY,1720-01-11,Hugh,curate,FARBROTHER,Matilda,servant,weaver
rec-24-org,,Margaret,F,WILKIE,WILKIE,1731-01-20,Henry,bricklayer,BOTT,Isabella,orchestra attendant,cabinet maker
rec-25-org,,Ernest,M,TAYLOR,TAYLOR,1720-04-08,John,mason,PICKTON,Elizabeth,farmer,farmer
rec-26-org,,Eliza,F,HARD,HARD,1725-11-27,George,mason,HUTTON,Annie,blacksmith,labourer
rec-27-org,,Thomas,M,WHARTON,WHARTON,1733-08-28,Ronald,merchant,OLIVER,Mary,royal marines- private,shoemaker
rec-28-org,,Mary,F,LAWSLEY,LAWSLEY,1729-12-20,James,poulterer,MCNAB,Margaret,bus conductor,chase keeper
rec-29-org,,Donald,M,GREEN,GREEN,1722-11-07,James,smith,WILLIAMS,Jane,brickmaker,carpenter
