rec-id,crptr-record,FirstName,Gender,MotherFirstName,FatherLastName,DateofBirth,FatherFirstName,FatherOccupation,MotherLastName,LastName,MotherOccupation,Occupation
rec-0-org,original,George,M,Mary,ALCORN,1712-08-21,Hugh,carpenter,ELLIOT,ALCORN,weaver,school teacher
rec-1-dup-0,original,Peter,M,Isabella,RICH,1713-10-22,James,time keeper (civil engineering),FAGAN,RICH,teache,gasfitter
rec-1-org,original,Peter,M,Isabella,RICH,1713-10-22,James,time keeper (civil engineering),FAGAN,RICH,teacher,gasfitter
rec-10-org,original,Anne,F,Mary,ALCORN,1728-03-13,Hugh,carpenter,ELLIOT,ALCORN,weaver,farmer
rec-11-org,original,Jas,M,Elisabeth,WHATTON,1721-10-22,John,carpenter,STEPHENSON,WHATTON,mariner,council gardener
rec-12-org,original,Mark,M,Sophia,TONGE,1721-05-30,John,parish clerk,ROBINSON,TONGE,locksmith,army officer
rec-13-org,original,John,M,Jane,HUNTLEY,1723-01-10,Samuel,shepherd,BAKER,HUNTLEY,coal miner,basket maker
rec-14-org,original,William,M,Isabella,RICH,1724-02-27,James,time keeper (civil engineering),FAGAN,RICH,teacher,plumber
rec-15-org,original,Catherine,F,Eliz,FOSTER,1725-11-13,Hugh,labourer,TROOP,FOSTER,oriform machinist,boat builder
rec-16-org,original,Mary,F,Emma,CARTER,1724-01-10,Robert,servant,SELKIRK,CARTER,fisherman,pub worker
rec-17-dup-0,original,Isabella,F,C,THOMAS,1718-10-31,Matthew,farmer,PHILLIPS,THOMAS,domiestic servant,managing director (rolling stock firm)
rec-17-org,original,Isabella,F,C,THOMAS,1718-10-31,Matthew,farmer,PHILLIPS,THOMAS,domestic servant,managing director (rolling stock firm)
rec-18-org,original,John,M,C,THOMAS,1718-10-31,Matthew,farmer,PHILLIPS,THOMAS,domestic servant,cottager
rec-19-org,original,Jane,F,Helen,BELL,1727-01-13,John,lab,HARDCASTLE,BELL,carpenter,farmer
rec-2-org,original,George,M,Margaret,MARCH,1719-06-06,Andrew,bricklayer,MITCHELL,MARCH,domestic servant,cork hawker
rec-20-org,original,William,M,Jane,JONE,1726-05-14,Duncan,saddler,PARDOE,JONE,gardener,bricklayer
rec-21-org,original,Isabella,F,Marion,DANNILS,1724-03-14,Robert,warehouseman,LOCK,DANNILS,foreman mechanic,carpenter
rec-22-org,original,Willia,M,Matilda,MAHAFFEY,1720-01-11,Hugh,curate,FARBROTHER,MAHAFFEY,servant,weaver
rec-23-org,original,Margaret,F,Isabella,WILKIE,1731-01-20,Henry,bricklayer,BOTT,WILKIE,orchestra attendant,cabinet maker
rec-24-org,original,Ernest,M,Elizabeth,TAYLOR,1720-04-08,John,mason,PICKTON,TAYLOR,farmer,farmer
rec-25-org,original,Eliza,F,Annie,HARD,1725-11-27,George,mason,HUTTON,HARD,blacksmith,labourer
rec-26-org,original,Thomas,M,Mary,WHARTON,1733-08-28,Ronald,merchant,OLIVER,WHARTON,royal marines private,shoemaker
rec-27-org,original,Mary,F,Margaret,LAWSLEY,1729-12-20,James,poulterer,MCNAB,LAWSLEY,bus conductor,chase keeper
rec-28-org,original,Donald,M,Jane,GREEN,1722-11-07,James,smith,WILLIAMS,GREEN,brickmaker,carpenter
rec-3-org,original,James,M,Matilda,MAHAFFEY,1714-09-21,Hugh,curate,FARBROTHER,MAHAFFEY,servant,labourer
rec-4-org,original,Thos,M,Janet,CAMPBELL,1727-02-17,Robt,bookseller,CONWAY,CAMPBELL,domestic servant,marine stores dealer
rec-5-org,original,Luis,F,Elizabeth,REAKES,1724-03-31,Willi,labourer,SCHULEN,REAKES,fitter at steelplant,mill hand
rec-6-org,original,Martha,F,Euphemia,GRIFFITHS,1735-06-28,Leslie,indian army engineer,HARDY,GRIFFITHS,brewery labourer,blacksmith
rec-7-org,original,James,M,C,THOMAS,1714-06-09,Matthew,farmer,PHILLIPS,THOMAS,domestic servant,farm worker
rec-8-org,original,Angus,M,Jane,ADAMSON,1723-10-29,George,lady's maid,HARRISS,ADAMSON,plasterer,farmer
rec-9-org,original,John,M,Mary,HILL,1719-03-16,John,chainmaker,HOWEL,HILL,boilermaker,servant
