ID,family,marriage,child's forname(s),child's surname,birth day,birth month,birth year,address,sex,father's forename,father's surname,father's occupation,mother's forename,mother's maiden surname,mother's occupation,day of parents' marriage,month of parents' marriage,year of parents' marriage,place of parent's marriage,illegit,notes,Death,CHILD_IDENTITY,MOTHER_IDENTITY,FATHER_IDENTITY,DEATH_RECORD_IDENTITY,PARENT_MARRIAGE_RECORD_IDENTITY,FATHER_BIRTH_RECORD_IDENTITY,MOTHER_BIRTH_RECORD_IDENTITY,MARRIAGE_RECORD_IDENTITY1,MARRIAGE_RECORD_IDENTITY2,MARRIAGE_RECORD_IDENTITY3,MARRIAGE_RECORD_IDENTITY4,MARRIAGE_RECORD_IDENTITY5,MARRIAGE_RECORD_IDENTITY6,MARRIAGE_RECORD_IDENTITY7,MARRIAGE_RECORD_IDENTITY8,IMMIGRANT_GENERATION
340,69,69,Ruksana,Grant,18,JUNE,1773,"1 Denfield Drive, Cardenden, Fife",F,Joshua,Grant,COTTON WEAVER,Georgia,Cruickshanks,DRESS MAKER,26,APRIL,1765,"Cardenden Fife",,SYNTHETIC DATA PRODUCED USING VALIPOP,340,340,186,175,340,69,175,186,,,,,,,,,NA
338,74,74,Jodie,Hamilton,17,JANUARY,1773,"3 Calfward Park, Allanbank, Lauder",F,Reece,Hamilton,UNDER FOOTMAN,Emma,Henderson,SEAMANS WIFE,15,DECEMBER,1769,"Allanbank Lauder ",,SYNTHETIC DATA PRODUCED USING VALIPOP,338,338,182,207,338,74,207,182,108,129,,,,,,,NA
342,76,76,Stacey,Black,19,SEPTEMBER,1773,"3 Gearra Mor, Na h-Eileanan Siar",F,Jack,Black,PORTER,Georgina,Drake,WOOL FACTORY KNITTER,6,MARCH,1771,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,342,342,238,241,342,76,241,238,109,,,,,,,,NA
386,73,73,Anisa,Mcbain,10,FEBRUARY,1783,"1 Newhouse Court, South Lanarkshire",F,Daniel,Mcbain,AG LAB,Charlotte,Hamilton,,6,OCTOBER,1768,"South Lanarkshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,386,386,200,219,386,73,219,200,116,,,,,,,,NA
390,83,83,Katharine,Kidd,6,JUNE,1783,"7 Gearra Mor, Na h-Eileanan Siar",F,Ben,Kidd,COOPER,Ashleigh,Drake,SEWER,3,JANUARY,1776,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,390,390,256,249,390,83,249,256,118,,,,,,,,NA
388,76,76,Jade,Black,10,SEPTEMBER,1783,"3 Gearra Mor, Na h-Eileanan Siar",F,Jack,Black,WIRE WORKER,Georgina,Drake,,6,MARCH,1771,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,388,388,238,241,388,76,241,238,117,151,,,,,,,NA
404,92,92,Josephine,Henry,30,AUGUST,1786,"4 Calfward Park, Allanbank, Lauder",F,Charles,Henry,PORTER,Bonny,Anderson,,31,JULY,1784,"Allanbank Lauder ",,SYNTHETIC DATA PRODUCED USING VALIPOP,404,404,292,285,404,92,285,292,131,,,,,,,,NA
408,93,93,Sarah,Anderson,9,JUNE,1787,"1 Kerse Avenue, North Ayrshire",F,George,Anderson,PLUMBER,Ashley,Drake,,6,FEBRUARY,1785,"North Ayrshire",,SYNTHETIC DATA PRODUCED USING VALIPOP,408,408,248,303,408,93,303,248,148,,,,,,,,NA
406,80,80,Nichola,Cruickshanks,4,AUGUST,1787,"103 Skua Drive, Dalgety Bay, Fife",F,Joseph,Cruickshanks,COAL BANKSMAN,Danielle,Strang,LABOURERS WIFE,12,FEBRUARY,1773,"Dalgety Bay Fife",,SYNTHETIC DATA PRODUCED USING VALIPOP,406,406,236,221,406,80,221,236,142,,,,,,,,NA
412,81,81,Mia,Drake,1,OCTOBER,1787,"5 Gearra Mor, Na h-Eileanan Siar",F,Antony,Drake,DAY LABOURER,Milena,Black,,10,JULY,1774,"Na h-Eileanan Siar",,SYNTHETIC DATA PRODUCED USING VALIPOP,412,412,258,243,412,81,243,258,138,,,,,,,,NA
