ID,forename(s) of deceased,surname of deceased,occupation,marital status,sex,name of spouse,spouse's occ,day,month,year,address,age at death,father's forename,father's surname,father's occupation,if father deceased,mother's forename,mother's maiden surname,mother's occupation,if mother deceased,death code A,death code B,death code C,notes1,Birth,mar,DECEASED_IDENTITY,MOTHER_IDENTITY,FATHER_IDENTITY,SPOUSE_IDENTITY,BIRTH_RECORD_IDENTITY,PARENT_MARRIAGE_RECORD_IDENTITY,FATHER_BIRTH_RECORD_IDENTITY,MOTHER_BIRTH_RECORD_IDENTITY,SPOUSE_MARRIAGE_RECORD_IDENTITY,SPOUSE_BIRTH_RECORD_IDENTITY,IMMIGRANT_GENERATION
340,Ruksana,Grant,PAUPER FORMERLY DOMESTIC SERV,S,F,,,10,SEPTEMBER,1858,"1 Denfield Drive, Cardenden, Fife",85,Joshua,Grant,,D,Georgia,Cruickshanks,,D,R54.03,,,SYNTHETIC DATA PRODUCED USING VALIPOP,340,,340,186,175,,340,69,175,186,,,NA
338,Jodie,Hamilton,DOMESTIC SERV,R,F,Karandeep Anderson,RAILWAY JOINER,8,JANUARY,1859,"1 Old Bridge End, Scaurs, Jedburgh",85,Reece,Hamilton,,D,Emma,Henderson,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,338,129,338,182,207,441,338,74,207,182,129,441,NA
342,Stacey,Black,CLOTHES WASHER,W,F,Samuel Perrie,,23,OCTOBER,1861,"1 Seaforth Avenue, Pulteneytown, Wick",88,Jack,Black,,D,Georgina,Drake,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,342,109,342,238,241,321,342,76,241,238,109,321,NA
386,Anisa,Mcbain,DOMESTIC SERVANT,W,F,Cory Drake,PLOUGHMAN,29,MAY,1856,"1 Loch Street, Pulteneytown, Wick",73,Daniel,Mcbain,,D,Charlotte,Hamilton,,D,I38.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,386,116,386,200,219,361,386,73,219,200,116,361,NA
390,Katharine,Kidd,PAUPER,W,F,Aaron Cruickshanks,WARPER,24,FEBRUARY,1856,"4 Pilot Place, Broadhaven, Caithness",72,Ben,Kidd,,D,Ashleigh,Drake,,D,A16.96,,,SYNTHETIC DATA PRODUCED USING VALIPOP,390,118,390,256,249,387,390,83,249,256,118,387,NA
388,Jade,Black,HOUSE KEEPER,R,F,William Cruickshanks,TAILOR (JOUR),13,DECEMBER,1856,"1 Dunnet Avenue, Pulteneytown, Wick",73,Jack,Black,,D,Georgina,Drake,,D,R99.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,388,151,388,238,241,491,388,76,241,238,151,491,NA
404,Josephine,Henry,,W,F,Aidan Perrie,FARMER OF 360 ACRES EMPLOYING 6 MEN 2 WOMEN & 2 BOYS,15,NOVEMBER,1862,"570 Rathad an Duin, Na h-Eileanan Siar",76,Charles,Henry,,D,Bonny,Anderson,,D,J20.91,,,SYNTHETIC DATA PRODUCED USING VALIPOP,404,131,404,292,285,389,404,92,285,292,131,389,NA
408,Sarah,Anderson,FARMER'S WIFE,M,F,George Drake,FARMER EMPLOYING 2 SHEPHERDS,1,AUGUST,1864,"1 Rowan Road, Soroba, Oban",77,George,Anderson,,D,Ashley,Drake,,D,K31.94,,,SYNTHETIC DATA PRODUCED USING VALIPOP,408,148,408,248,303,519,408,93,303,248,148,519,NA
406,Nichola,Cruickshanks,RETIRED AG LAB,M,F,Logan Cruickshanks,FARMER,11,JANUARY,1864,"1 Castle Road, Genoch Farm, South Ayrshire",76,Joseph,Cruickshanks,,D,Danielle,Strang,,D,K59.00,R10.42,K65.90,SYNTHETIC DATA PRODUCED USING VALIPOP,406,142,406,236,221,427,406,80,221,236,142,427,NA
412,Mia,Drake,AGRICULTURAL LAB (PAUPER),W,F,Jake Cruickshanks,GROUND OFFICER & FAR OF 4 AC,15,APRIL,1869,"1 Kethers Street, Braedale, North Lanarkshire",81,Antony,Drake,,D,Milena,Black,,D,R53.03,,,SYNTHETIC DATA PRODUCED USING VALIPOP,412,138,412,258,243,425,412,81,243,258,138,425,NA
410,Rachel,Perrie,PIRN WINDER,W,F,Max Mullen,LABOURER,13,JULY,1869,"1 Bankhead, Pulteneytown, Wick",82,Christopher,Perrie,,D,Afra,Drake,,D,R54.05,,,SYNTHETIC DATA PRODUCED USING VALIPOP,410,139,410,252,209,471,410,87,209,252,139,471,NA
414,Jessica,Anderson,PAUPER,R,F,Charlie Black,WOOLLEN WEAVER,26,SEPTEMBER,1869,"569 Rathad an Duin, Na h-Eileanan Siar",82,Lewis,Anderson,,D,Holly,Strang,,D,R53.03,R54.05,,SYNTHETIC DATA PRODUCED USING VALIPOP,414,152,414,306,273,521,414,91,273,306,152,521,NA
448,Catherine,Anderson,WOOL SPINNER,W,F,Benjamin Grant,SILK WEAVER,27,JANUARY,1872,"1 Milfield Gardens, Scaurs, Jedburgh",77,Lewis,Anderson,,D,Holly,Strang,,D,J40.02,,,SYNTHETIC DATA PRODUCED USING VALIPOP,448,162,448,306,273,551,448,91,273,306,162,551,NA
450,Kayleigh,Henry,,M,F,Jordan Anderson,AG LAB,12,JULY,1867,"576 Rathad an Duin, Na h-Eileanan Siar",72,Robert,Henry,,D,Ruby,Drake,,D,K65.90,R30.00,,SYNTHETIC DATA PRODUCED USING VALIPOP,450,150,450,308,341,515,450,106,341,308,150,515,NA
452,Jackie,Jones,,W,F,Rhys Mullen,WEAVER AGENT & COTTON WEAVER EMPLOY 18 WORKERS,21,MARCH,1873,"5 Roxburgh Road, Pulteneytown, Wick",78,Rhys,Jones,,D,Alexandra,Drake,,D,I51.90,J20.91,,SYNTHETIC DATA PRODUCED USING VALIPOP,452,140,452,326,311,481,452,101,311,326,140,481,NA
454,Sarah,Anderson,GENERAL SERVANT,W,F,Oliver Powell,COTTON SPINER,17,JUNE,1857,"1 Cowden Road, Perth and Kinross",60,Taiwo,Anderson,,D,Lauren,Mullen,,D,R99.01,,,SYNTHETIC DATA PRODUCED USING VALIPOP,454,156,454,290,307,539,454,88,307,290,156,539,NA
460,Sarah,Perrie,,M,F,Sean Anderson,FARMER OF 16 ACRES,23,SEPTEMBER,1857,"2 The Croft, The Holmes, Scottish Borders",61,Samuel,Perrie,,D,Stacey,Black,,,J45.90,,,SYNTHETIC DATA PRODUCED USING VALIPOP,460,155,460,342,321,457,460,109,321,342,155,457,NA
456,Alexandra,Henry,,M,F,Luke Drake,FARMER,23,MARCH,1865,"575 Rathad an Duin, Na h-Eileanan Siar",68,Robert,Henry,,D,Ruby,Drake,,D,R53.03,,,SYNTHETIC DATA PRODUCED USING VALIPOP,456,144,456,308,341,489,456,106,341,308,144,489,NA
458,Abigail,Jones,WASHER & DRESSER,W,F,Michael Mcbain,LABOUR,25,FEBRUARY,1865,"574 Rathad an Duin, Na h-Eileanan Siar",68,Rhys,Jones,,D,Alexandra,Drake,,D,J42.00,,,SYNTHETIC DATA PRODUCED USING VALIPOP,458,143,458,326,311,405,458,101,311,326,143,405,NA
484,Imogen,Perrie,STOCKING KNITTER,S,F,,,10,FEBRUARY,1878,"1 Seaforth Avenue, Pulteneytown, Wick",76,Samuel,Perrie,,D,Stacey,Black,,D,R53.03,,,SYNTHETIC DATA PRODUCED USING VALIPOP,484,,484,342,321,,484,109,321,342,,,NA
